subgroup,coverage_group,key,company,ticker,price,quote_ccy,report_ccy,mcap_usd_bn,ev_report_ccy_bn,estimate_basis,ev_ebitda_ltm,ev_ebit_ltm,pe_ltm,ev_rev_ltm,fcf_yield_pct,peer_median_ev_ebitda,prem_disc_vs_peers_pct,sector_median_ev_ebitda,prem_disc_vs_sector_pct,hist_median_ev_ebitda,hist_percentile,hist_zscore,hist_years,rev_growth_pct,ebitda_growth_pct,ebitda_margin_pct,margin_chg_pp,fcf_conversion,nd_ebitda,interest_cover,rel_1m_pct,rel_3m_pct,rel_12m_pct,drawdown_52w_pct,valuation_state,fundamental_state,momentum_state,trend,momentum_change,recent_signal,classification,data_quality
Automation & Electrical Equipment,ABB,ABBN,ABB Ltd,ABBN SW,80.18,CHF,USD,177.55,181.23,LTM reported fallback,26.17,31.63,36.81,5.46,2.5,31.78,-17.7,17.17,52.4,20.09,83.3,0.77,6,8.6,19.2,20.8,1.8,0.93,0.44,66.62,-0.52,-5.62,23.65,-10.1,discount,improving,indeterminate,Uptrend,Weakening,No recent crossover,discount · improving fundamentals,"income statement uses latest fiscal year (interim quarters unavailable); trades in CHF, reports in USD — EV built in USD at spot CHF/USD"
Automation & Electrical Equipment,Alstom & Stadler,ALO,Alstom SA,ALO FP,14.54,EUR,EUR,7.65,8.1,LTM reported fallback,5.55,11.58,18.41,0.42,4.8,20.18,-72.5,17.17,-67.7,9.73,0.0,-1.59,6,3.7,15.3,7.6,0.8,0.89,0.86,5.83,-10.24,-0.92,-54.17,-51.9,deep discount,improving,established downtrend,Downtrend,Strengthening,No recent crossover,deep discount · improving fundamentals,income statement uses latest fiscal year (interim quarters unavailable); Alstom FY ends March; Bombardier Transportation acquired Jan 2021
Automation & Electrical Equipment,Alstom & Stadler,SRAIL,Stadler Rail AG,SRAIL SW,29.94,CHF,CHF,3.63,3.31,LTM reported fallback,10.67,20.63,29.74,0.9,-21.1,20.18,-47.1,17.17,-37.9,12.57,50.0,-0.42,6,13.0,29.5,8.4,1.1,-6.27,0.89,3.79,21.97,31.94,31.79,-5.6,deep discount,improving,fading uptrend,Uptrend,Strengthening,No recent crossover,deep discount · improving fundamentals,income statement uses latest fiscal year (interim quarters unavailable)
Automation & Electrical Equipment,Legrand,LR,Legrand SA,LR FP,134.85,EUR,EUR,40.22,40.04,LTM reported fallback,17.65,22.14,28.22,4.22,3.8,24.65,-28.4,17.17,2.8,14.54,100.0,1.62,6,9.6,7.4,23.9,-0.5,1.06,2.06,10.77,-8.53,-10.03,-22.64,-19.2,discount,stable,established downtrend,Uptrend,Weakening,No recent crossover,discount · stable fundamentals,income statement uses latest fiscal year (interim quarters unavailable)
Automation & Electrical Equipment,Nexans & Prysmian,NEX,Nexans SA,NEX FP,135.6,EUR,EUR,6.72,6.19,LTM reported fallback,8.71,14.23,16.5,0.79,7.9,12.11,-28.1,17.17,-49.3,7.14,83.3,0.98,6,12.9,29.5,9.1,1.2,1.3,0.37,7.63,-11.85,0.92,-42.42,-19.8,discount,improving,established downtrend,Uptrend,Weakening,No recent crossover,discount · improving fundamentals,income statement uses latest fiscal year (interim quarters unavailable)
Automation & Electrical Equipment,Nexans & Prysmian,PRY,Prysmian SpA,PRY IM,122.4,EUR,EUR,40.96,40.06,LTM reported fallback,15.63,27.31,27.81,2.04,3.8,12.11,29.1,17.17,-9.0,11.7,100.0,1.91,6,15.4,50.8,13.0,3.1,1.06,1.51,6.67,-6.99,-8.93,3.7,-22.2,premium,improving,established downtrend,Uptrend,Weakening,No recent crossover,premium · improving fundamentals,income statement uses latest fiscal year (interim quarters unavailable)
Automation & Electrical Equipment,Rexel,RXL,Rexel SA,RXL FP,36.31,EUR,EUR,12.2,14.78,LTM reported fallback,9.57,13.12,18.12,0.76,6.1,26.23,-63.5,17.17,-44.2,6.64,100.0,2.19,6,0.7,3.0,8.0,0.2,1.1,2.63,5.03,-8.73,-7.82,-2.91,-8.8,deep discount,stable,emerging positive inflection,Uptrend,Weakening,No recent crossover,deep discount · stable fundamentals,income statement uses latest fiscal year (interim quarters unavailable)
Automation & Electrical Equipment,Schneider Electric,SU,Schneider Electric SE,SU FP,291.0,EUR,EUR,186.2,177.1,LTM reported fallback,20.34,25.26,37.6,4.41,2.8,29.43,-30.9,17.17,18.4,15.79,100.0,3.05,6,5.2,6.0,21.7,0.2,1.05,1.52,12.98,-3.93,8.58,-6.0,-6.8,deep discount,improving,established uptrend,Uptrend,Strengthening,No recent crossover,deep discount · improving fundamentals,income statement uses latest fiscal year (interim quarters unavailable)
Automation & Electrical Equipment,Siemens,SIE,Siemens AG,SIE GY,278.3,EUR,EUR,248.86,257.59,LTM reported fallback,15.82,25.65,25.61,3.23,4.9,27.32,-42.1,17.17,-7.8,13.23,100.0,2.15,6,3.9,-1.5,20.4,-1.0,1.27,1.99,5.81,-1.93,6.42,4.77,-4.6,deep discount,deteriorating,established uptrend,Uptrend,Stable,No recent crossover,deep discount · deteriorating fundamentals,OK
Trucks & Elevators,Daimler Truck & Traton,DTG,Daimler Truck Holding AG,DTG GY,42.54,EUR,EUR,37.23,48.98,LTM reported fallback,11.68,17.78,16.09,1.08,8.7,15.34,-23.9,17.17,-32.0,9.0,100.0,1.65,5,-15.8,-20.8,9.2,-0.6,1.41,3.75,6.48,6.99,20.05,-1.92,-15.1,discount,deteriorating,fading uptrend,Uptrend,Weakening,No recent crossover,discount · deteriorating fundamentals,income statement uses latest fiscal year (interim quarters unavailable); captive finance operations: consolidated net debt includes financial-services funding — EV multiples not comparable with industrial-only definitions
Trucks & Elevators,Daimler Truck & Traton,8TRA,TRATON SE,8TRA GY,35.12,EUR,EUR,19.99,41.23,LTM reported fallback,6.68,14.29,11.37,0.94,-10.8,15.34,-56.4,17.17,-61.1,2.83,83.3,1.16,6,-7.2,-28.3,14.0,-4.1,-1.23,3.84,4.4,8.88,26.02,0.72,-15.1,deep discount,deteriorating,fading uptrend,Uptrend,Weakening,No recent crossover,deep discount · deteriorating fundamentals,income statement uses latest fiscal year (interim quarters unavailable); captive finance operations: consolidated net debt includes financial-services funding — EV multiples not comparable with industrial-only definitions
Trucks & Elevators,Paccar,PCAR,PACCAR Inc,PCAR US,111.31,USD,USD,58.7,58.7,LTM reported fallback,16.51,18.6,23.71,2.11,6.4,11.31,46.0,17.17,-3.8,,,,,-15.5,,12.8,,1.52,0.0,,5.12,11.4,2.18,-20.1,extreme premium,deteriorating,emerging breakdown,Uptrend,Weakening,No recent crossover,extreme premium · deteriorating fundamentals,EBIT reconstructed as LTM pretax income + interest expense (approximate); cash unavailable -- net debt overstated; debt unavailable from XBRL -- EV may be understated; captive finance operations: consolidated net debt includes financial-services funding — EV multiples not comparable with industrial-only definitions
Trucks & Elevators,Volvo,VOLVB,Volvo AB (B),VOLVB SS,325.2,SEK,SEK,66.68,846.31,LTM reported fallback,11.96,17.73,20.01,1.81,2.9,16.51,-27.5,17.17,-30.3,8.57,100.0,2.47,6,-9.0,-22.6,15.1,-2.6,0.59,2.62,26.03,-2.21,7.69,-5.58,-13.2,discount,deteriorating,fading uptrend,Uptrend,Weakening,No recent crossover,discount · deteriorating fundamentals,captive finance operations: consolidated net debt includes financial-services funding — EV multiples not comparable with industrial-only definitions
Trucks & Elevators,Kone & Schindler,KNEBV,KONE Oyj (B),KNEBV FH,51.5,EUR,EUR,30.35,27.18,LTM reported fallback,16.11,20.34,26.88,2.42,4.4,20.37,-20.9,17.17,-6.2,17.71,33.3,-0.65,6,1.3,6.7,15.0,0.8,1.17,0.28,33.07,-0.14,7.24,-15.77,-20.1,discount,stable,indeterminate,Downtrend,Weakening,No recent crossover,discount · stable fundamentals,income statement uses latest fiscal year (interim quarters unavailable)
Trucks & Elevators,Kone & Schindler,SCHP,Schindler Holding (PC),SCHP SW,262.8,CHF,CHF,34.11,24.64,LTM reported fallback,14.35,17.88,26.23,2.25,4.9,20.37,-29.6,17.17,-16.4,15.25,33.3,-0.31,6,-2.6,5.6,15.7,1.2,1.29,-2.09,32.05,1.04,1.24,-18.69,-16.4,discount,deteriorating,indeterminate,Downtrend,Weakening,No recent crossover,discount · deteriorating fundamentals,income statement uses latest fiscal year (interim quarters unavailable)
Trucks & Elevators,Otis,OTIS,Otis Worldwide Corp,OTIS US,65.94,USD,USD,25.69,32.67,LTM reported fallback,13.42,14.45,17.35,2.23,,23.1,-41.9,17.17,-21.8,17.68,0.0,-4.3,6,1.2,5.4,16.6,0.6,,2.87,,-3.53,0.71,-45.29,-30.3,deep discount,stable,established downtrend,Downtrend,Strengthening,No recent crossover,deep discount · stable fundamentals,OK
UK Industrials,Halma,HLMA,Halma plc,HLMA LN,3484.0,GBp,GBP,17.42,13.93,LTM reported fallback,21.02,26.49,35.35,5.39,3.1,32.8,-35.9,17.17,22.4,24.34,0.0,-0.88,6,14.9,24.0,25.7,1.9,1.1,1.16,15.11,-2.88,-1.39,-177.2,-28.9,deep discount,improving,established downtrend,Downtrend,Strengthening,New negative crossover,deep discount · improving fundamentals,income statement uses latest fiscal year (interim quarters unavailable); quoted in GBp (pence); financials GBP
UK Industrials,IMI,IMI,IMI plc,IMI LN,3120.0,GBp,GBP,10.3,8.31,LTM reported fallback,15.21,19.67,25.11,3.61,4.1,22.37,-32.0,17.17,-11.4,11.16,100.0,2.13,6,4.3,13.1,23.7,1.9,1.02,0.97,15.03,-1.59,7.89,22.51,-1.5,deep discount,improving,established uptrend,Uptrend,Strengthening,No recent crossover,deep discount · improving fundamentals,income statement uses latest fiscal year (interim quarters unavailable); quoted in GBp (pence); financials GBP
UK Industrials,Rotork,ROR,Rotork plc,ROR LN,485.6,GBp,GBP,5.49,4.08,LTM reported fallback,22.47,26.62,35.46,5.25,2.7,24.4,-7.9,17.17,30.9,16.34,100.0,2.63,6,3.0,11.4,23.4,1.8,0.95,-0.36,66.7,-4.7,59.43,18.37,-0.7,fair,improving,fading uptrend,Uptrend,Strengthening,No recent crossover,fair · improving fundamentals,income statement uses latest fiscal year (interim quarters unavailable); quoted in GBp (pence); financials GBP
UK Industrials,Smiths Group,SMIN,Smiths Group plc,SMIN LN,2816.0,GBp,GBP,12.9,10.63,LTM reported fallback,15.36,20.17,38.81,3.83,3.4,22.37,-31.3,17.17,-10.5,17.42,40.0,0.07,5,-8.5,10.7,24.9,4.3,1.32,1.25,7.32,14.0,20.62,13.22,-1.1,deep discount,deteriorating,established uptrend,Uptrend,Strengthening,No recent crossover,deep discount · deteriorating fundamentals,income statement uses latest fiscal year (interim quarters unavailable); Smiths FY ends July; latest FY income statement partially unreported in provider data; quoted in GBp (pence); financials GBP
UK Industrials,Spirax Group,SPX,Spirax Group plc,SPX LN,7050.0,GBp,GBP,6.88,5.85,LTM reported fallback,15.57,22.05,31.76,3.44,4.4,23.31,-33.2,17.17,-9.3,20.67,16.7,-1.08,6,2.3,-10.4,22.1,-3.1,1.39,1.74,5.65,-3.89,-0.67,-21.66,-12.4,deep discount,deteriorating,emerging positive inflection,Downtrend,Weakening,No recent crossover,deep discount · deteriorating fundamentals,income statement uses latest fiscal year (interim quarters unavailable); quoted in GBp (pence); financials GBP
