key,company,year,ev_ebitda,basis
8TRA,TRATON SE,2020,7.71,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
8TRA,TRATON SE,2021,1.6,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
8TRA,TRATON SE,2022,0.87,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
8TRA,TRATON SE,2023,1.09,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
8TRA,TRATON SE,2024,4.05,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
8TRA,TRATON SE,2025,6.31,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
ABBN,ABB Ltd,2020,34.45,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
ABBN,ABB Ltd,2021,21.29,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
ABBN,ABB Ltd,2022,16.94,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
ABBN,ABB Ltd,2023,16.31,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
ABBN,ABB Ltd,2024,20.23,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
ABBN,ABB Ltd,2025,19.94,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
ALLE,Allegion plc,2020,23.95,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
ALLE,Allegion plc,2021,20.15,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
ALLE,Allegion plc,2022,15.85,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
ALLE,Allegion plc,2023,13.31,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
ALLE,Allegion plc,2024,14.7,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
ALLE,Allegion plc,2025,15.63,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
ALO,Alstom SA,2021,12.37,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
ALO,Alstom SA,2022,11.54,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
ALO,Alstom SA,2023,6.65,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
ALO,Alstom SA,2024,9.4,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
ALO,Alstom SA,2025,10.07,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
ALO,Alstom SA,2026,5.91,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
AMAT,Applied Materials,2020,13.93,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
AMAT,Applied Materials,2021,17.28,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
AMAT,Applied Materials,2022,10.66,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
ASSAB,Assa Abloy AB (B),2020,17.34,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
ASSAB,Assa Abloy AB (B),2021,16.5,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
ASSAB,Assa Abloy AB (B),2022,12.23,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
ASSAB,Assa Abloy AB (B),2023,17.48,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
ASSAB,Assa Abloy AB (B),2024,14.78,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
ASSAB,Assa Abloy AB (B),2025,15.71,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
ATCOA,Atlas Copco AB (A),2020,21.75,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
ATCOA,Atlas Copco AB (A),2021,26.56,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
ATCOA,Atlas Copco AB (A),2022,17.91,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
ATCOA,Atlas Copco AB (A),2023,19.35,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
ATCOA,Atlas Copco AB (A),2024,19.67,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
ATCOA,Atlas Copco AB (A),2025,18.9,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
ATKR,Atkore,2020,7.14,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
ATKR,Atkore,2021,6.08,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
ATKR,Atkore,2022,4.63,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
ATKR,Atkore,2023,6.22,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
ATKR,Atkore,2024,4.49,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
ATKR,Atkore,2025,6.62,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
BDC,Belden,2020,10.84,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
BDC,Belden,2021,10.25,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
BDC,Belden,2022,11.01,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
BDC,Belden,2023,9.55,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
BDC,Belden,2024,15.23,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
BDC,Belden,2025,12.86,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
BMI,Badger Meter,2020,28.01,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
BMI,Badger Meter,2021,25.76,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
BMI,Badger Meter,2022,26.28,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
BMI,Badger Meter,2023,29.55,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
BMI,Badger Meter,2024,32.4,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
BMI,Badger Meter,2025,22.58,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
CARR,Carrier Global,2020,12.45,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
CARR,Carrier Global,2021,18.91,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
CARR,Carrier Global,2022,9.31,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
CARR,Carrier Global,2023,22.33,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
CARR,Carrier Global,2024,19.6,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
CARR,Carrier Global,2025,16.05,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
CAT,Caterpillar,2020,11.56,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
CAT,Caterpillar,2021,9.99,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
CAT,Caterpillar,2022,10.48,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
CAT,Caterpillar,2023,7.46,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
CAT,Caterpillar,2024,11.1,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
CAT,Caterpillar,2025,19.59,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
CMI,Cummins,2020,10.02,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
CMI,Cummins,2021,7.87,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
CMI,Cummins,2022,8.62,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
