key,old_1m,new_1m,old_3m,new_3m,old_12m,new_12m
ABBN,-4.57,5.0,6.55,16.34,56.17,74.42
LR,-4.74,3.15,-7.31,-5.48,8.27,24.07
SU,-5.52,4.64,0.39,3.63,18.14,19.61
MRO,0.23,6.06,-1.14,-9.54,-7.07,-10.76
RR,-0.43,16.6,21.69,13.51,34.18,47.47
VOLVB,2.81,10.1,6.14,3.25,19.19,21.62
ATCOA,-2.57,6.61,9.7,6.46,27.57,16.92
METSO,0.26,0.79,5.23,-6.55,37.56,29.93
PRY,-7.53,-0.92,5.55,12.73,91.89,120.24
EBARA,-2.06,16.37,15.02,19.57,118.82,120.67
ETN,-4.42,8.47,-5.94,1.06,5.86,13.88
MOGA,-3.95,6.54,35.11,30.47,110.31,121.98
VISN,-2.27,3.48,-2.38,-34.16,-30.61,58.91
