key,start,end,n
8TRA,2019-07-01,2026-07-13,1789
ABBN,2016-07-13,2026-07-13,2511
ALLE,2016-07-13,2026-07-10,2512
ALO,2016-07-13,2026-07-13,2560
AMAT,2016-07-13,2026-07-10,2512
AME,2016-07-13,2026-07-10,2512
ASSAB,2016-07-13,2026-07-13,2514
ATCOA,2016-07-13,2026-07-13,2514
ATKR,2016-07-13,2026-07-10,2512
BDC,2016-07-13,2026-07-10,2512
BMI,2016-07-13,2026-07-10,2512
CARR,2020-03-19,2026-07-10,1585
CAT,2016-07-13,2026-07-10,2512
CMI,2016-07-13,2026-07-10,2512
COHR,2016-07-13,2026-07-10,2512
CR,2023-03-29,2026-07-10,823
DE,2016-07-13,2026-07-10,2512
DHR,2016-07-13,2026-07-10,2512
DTG,2021-12-10,2026-07-13,1167
EBARA,2016-07-13,2026-07-10,2462
EMR,2016-07-13,2026-07-10,2512
EPIA,2018-06-18,2026-07-13,2024
ETN,2016-07-13,2026-07-10,2512
FAST,2016-07-13,2026-07-10,2512
FLS,2016-07-13,2026-07-10,2512
FN,2016-07-13,2026-07-10,2512
GBX,2016-07-13,2026-07-10,2512
GE,2016-07-13,2026-07-10,2512
GLW,2016-07-13,2026-07-10,2512
HLMA,2016-07-13,2026-07-13,2526
HON,2016-07-13,2026-07-10,2512
HWM,2016-11-01,2026-07-10,2434
HXL,2016-07-13,2026-07-10,2512
IEX,2016-07-13,2026-07-10,2512
IMI,2016-07-13,2026-07-13,2526
IR,2017-05-12,2026-07-10,2302
ITT,2016-07-13,2026-07-10,2512
JCI,2016-07-13,2026-07-10,2512
KLAC,2016-07-13,2026-07-10,2512
KMT,2016-07-13,2026-07-10,2512
KNEBV,2016-07-13,2026-07-13,2512
LII,2016-07-13,2026-07-10,2512
LITE,2016-07-13,2026-07-10,2512
LR,2016-07-13,2026-07-13,2560
METSO,2016-07-13,2026-07-13,2512
MOGA,2016-07-13,2026-07-10,2512
MRO,2016-07-13,2026-07-13,2526
NEX,2016-07-13,2026-07-13,2560
NSK,2016-07-13,2026-07-10,2462
NTN,2016-07-13,2026-07-10,2462
OSK,2016-07-13,2026-07-10,2512
OTIS,2020-03-19,2026-07-10,1585
PCAR,2016-07-13,2026-07-10,2512
PRY,2016-07-13,2026-07-13,2539
ROK,2016-07-13,2026-07-10,2512
ROR,2016-07-13,2026-07-13,2526
RR,2016-07-13,2026-07-13,2525
RTX,2016-07-13,2026-07-10,2512
RXL,2016-07-13,2026-07-13,2560
SAND,2016-07-13,2026-07-13,2514
SCHP,2016-07-13,2026-07-13,2511
SIE,2016-07-13,2026-07-13,2541
SKFB,2016-07-13,2026-07-13,2514
SMIN,2016-07-13,2026-07-13,2526
SPX,2016-07-13,2026-07-13,2526
SRAIL,2019-04-11,2026-07-13,1820
SU,2016-07-13,2026-07-13,2560
TDG,2016-07-13,2026-07-10,2512
TEX,2016-07-13,2026-07-10,2512
TKR,2016-07-13,2026-07-10,2512
TT,2016-07-13,2026-07-10,2512
VISN,2016-07-13,2026-07-10,2512
VOLVB,2016-07-13,2026-07-13,2514
VRT,2018-08-02,2026-07-10,1994
WAB,2016-07-13,2026-07-10,2512
WCC,2016-07-13,2026-07-10,2512
WEIR,2016-07-13,2026-07-13,2526
WTS,2016-07-13,2026-07-10,2512
WWD,2016-07-13,2026-07-10,2512
