key,company,yahoo,exchange,ccy,core,live_px,live_date,raw_quote_px,raw_quote_date,db_quote_px,db_quote_date,db_refreshed_at,latest_bar,feat_px,feat_snapshot,mismatch_raw_vs_db,mismatch_db_vs_feat,stale
ABBN,ABB Ltd,ABBN.SW,SIX,CHF,True,,,83.82000,2026-07-13,83.82,2026-07-13,2026-07-13 19:26:50.974069,2026-07-13,83.82,2026-07-13,False,False,False
ALO,Alstom SA,ALO.PA,Euronext Paris,EUR,True,,,15.26000,2026-07-13,15.26,2026-07-13,2026-07-13 19:26:50.974069,2026-07-13,15.26,2026-07-13,False,False,False
SRAIL,Stadler Rail AG,SRAIL.SW,SIX,CHF,True,,,23.34000,2026-07-13,23.34,2026-07-13,2026-07-13 19:26:50.974069,2026-07-13,23.34,2026-07-13,False,False,False
LR,Legrand SA,LR.PA,Euronext Paris,EUR,True,,,139.25000,2026-07-13,139.25,2026-07-13,2026-07-13 19:26:50.974069,2026-07-13,139.25,2026-07-13,False,False,False
NEX,Nexans SA,NEX.PA,Euronext Paris,EUR,True,,,133.80000,2026-07-13,133.8,2026-07-13,2026-07-13 19:26:50.974069,2026-07-13,133.8,2026-07-13,False,False,False
PRY,Prysmian SpA,PRY.MI,Borsa Italiana,EUR,True,,,133.35000,2026-07-13,133.35,2026-07-13,2026-07-13 19:26:50.974069,2026-07-13,133.35,2026-07-13,False,False,False
RXL,Rexel SA,RXL.PA,Euronext Paris,EUR,True,,,38.86000,2026-07-13,38.86,2026-07-13,2026-07-13 19:26:50.974069,2026-07-13,38.86,2026-07-13,False,False,False
SU,Schneider Electric SE,SU.PA,Euronext Paris,EUR,True,,,268.55000,2026-07-13,268.55,2026-07-13,2026-07-13 19:26:50.974069,2026-07-13,268.55,2026-07-13,False,False,False
SIE,Siemens AG,SIE.DE,XETRA,EUR,True,,,272.10000,2026-07-13,272.1,2026-07-13,2026-07-13 19:26:50.974069,2026-07-13,272.1,2026-07-13,False,False,False
DTG,Daimler Truck Holding AG,DTG.DE,XETRA,EUR,True,,,42.15000,2026-07-13,42.15,2026-07-13,2026-07-13 19:26:50.974069,2026-07-13,42.15,2026-07-13,False,False,False
8TRA,TRATON SE,8TRA.DE,XETRA,EUR,True,,,34.62000,2026-07-13,34.62,2026-07-13,2026-07-13 19:26:50.974069,2026-07-13,34.62,2026-07-13,False,False,False
VOLVB,Volvo AB (B),VOLV-B.ST,Nasdaq Stockholm,SEK,True,,,335.30000,2026-07-13,335.3,2026-07-13,2026-07-13 19:26:50.974069,2026-07-13,335.3,2026-07-13,False,False,False
KNEBV,KONE Oyj (B),KNEBV.HE,Nasdaq Helsinki,EUR,True,,,49.62000,2026-07-13,49.62,2026-07-13,2026-07-13 19:26:50.974069,2026-07-13,49.62,2026-07-13,False,False,False
SCHP,Schindler Holding (PC),SCHP.SW,SIX,CHF,True,,,263.60000,2026-07-13,263.6,2026-07-13,2026-07-13 19:26:50.974069,2026-07-13,263.6,2026-07-13,False,False,False
HLMA,Halma plc,HLMA.L,LSE,GBp,True,,,3594.00000,2026-07-13,3594.0,2026-07-13,2026-07-13 19:26:50.974069,2026-07-13,3594.0,2026-07-13,False,False,False
IMI,IMI plc,IMI.L,LSE,GBp,True,,,2808.00000,2026-07-13,2808.0,2026-07-13,2026-07-13 19:26:50.974069,2026-07-13,2808.0,2026-07-13,False,False,False
ROR,Rotork plc,ROR.L,LSE,GBp,True,,,290.20000,2026-07-13,290.2,2026-07-13,2026-07-13 19:26:50.974069,2026-07-13,290.2,2026-07-13,False,False,False
SMIN,Smiths Group plc,SMIN.L,LSE,GBp,True,,,2493.00000,2026-07-13,2493.0,2026-07-13,2026-07-13 19:26:50.974069,2026-07-13,2493.0,2026-07-13,False,False,False
