key,company,yahoo,exchange,ccy,core,live_px,live_date,raw_quote_px,raw_quote_date,db_quote_px,db_quote_date,db_refreshed_at,latest_bar,feat_px,feat_snapshot,mismatch_raw_vs_db,mismatch_db_vs_feat,stale
ABBN,ABB Ltd,ABBN.SW,SIX,CHF,True,,,83.82000,2026-07-13,83.32,2026-07-13,2026-07-13 17:32:20.077299,2026-07-13,83.32,2026-07-13,False,False,False
ALO,Alstom SA,ALO.PA,Euronext Paris,EUR,True,,,15.26000,2026-07-13,15.49,2026-07-13,2026-07-13 17:32:20.077299,2026-07-13,15.49,2026-07-13,False,False,False
SRAIL,Stadler Rail AG,SRAIL.SW,SIX,CHF,True,,,23.34000,2026-07-13,22.96,2026-07-13,2026-07-13 17:32:20.077299,2026-07-13,22.96,2026-07-13,False,False,False
LR,Legrand SA,LR.PA,Euronext Paris,EUR,True,,,139.25000,2026-07-13,139.6,2026-07-13,2026-07-13 17:32:20.077299,2026-07-13,139.6,2026-07-13,False,False,False
NEX,Nexans SA,NEX.PA,Euronext Paris,EUR,True,,,133.80000,2026-07-13,132.7,2026-07-13,2026-07-13 17:32:20.077299,2026-07-13,132.7,2026-07-13,False,False,False
PRY,Prysmian SpA,PRY.MI,Borsa Italiana,EUR,True,,,133.35000,2026-07-13,133.05,2026-07-13,2026-07-13 17:32:20.077299,2026-07-13,133.05,2026-07-13,False,False,False
RXL,Rexel SA,RXL.PA,Euronext Paris,EUR,True,,,38.86000,2026-07-13,38.52,2026-07-13,2026-07-13 17:32:20.077299,2026-07-13,38.52,2026-07-13,False,False,False
SU,Schneider Electric SE,SU.PA,Euronext Paris,EUR,True,,,268.55000,2026-07-13,267.75,2026-07-13,2026-07-13 17:32:20.077299,2026-07-13,267.75,2026-07-13,False,False,False
SIE,Siemens AG,SIE.DE,XETRA,EUR,True,,,272.10000,2026-07-13,270.55,2026-07-13,2026-07-13 17:32:20.077299,2026-07-13,270.55,2026-07-13,False,False,False
DTG,Daimler Truck Holding AG,DTG.DE,XETRA,EUR,True,,,42.15000,2026-07-13,41.88,2026-07-13,2026-07-13 17:32:20.077299,2026-07-13,41.88,2026-07-13,False,False,False
