key,date,factiq,yahoo,diff_pct
METSO,2026-07-09,15.205,15.1,-0.69
METSO,2026-07-08,15.085,14.88,-1.36
METSO,2026-07-02,15.45,15.21,-1.55
METSO,2026-06-16,15.595,15.68,0.55
METSO,2026-06-09,15.315,15.42,0.69
METSO,2026-06-08,15.66,15.79,0.83
METSO,2026-06-03,16.155,16.25,0.59
METSO,2026-06-01,15.725,15.58,-0.92
METSO,2026-05-27,16.02,16.13,0.69
METSO,2026-05-22,15.35,15.48,0.85
METSO,2026-05-19,15.085,14.98,-0.7
METSO,2026-05-12,15.035,14.89,-0.96
METSO,2026-05-07,15.135,14.88,-1.68
METSO,2026-05-04,14.43906,14.26,-1.24
METSO,2026-04-29,14.58,14.42,-1.1
METSO,2026-04-21,15.915,15.73,-1.16
METSO,2026-04-13,16.23,16.37,0.86
METSO,2026-04-09,15.85,15.97,0.76
METSO,2026-04-02,14.94,15.09,1.0
METSO,2026-03-23,14.2325,14.33,0.69
METSO,2026-03-12,16.0375,16.205,1.04
METSO,2026-03-10,16.2625,16.14,-0.75
METSO,2026-03-09,15.53,15.395,-0.87
METSO,2026-03-03,16.525,16.675,0.91
METSO,2026-02-26,17.5325,17.66,0.73
SKFB,2026-07-10,258.049988,259.5,0.56
SKFB,2026-07-09,254.55,257.6,1.2
SKFB,2026-07-07,260.14999,257.8,-0.9
SKFB,2026-07-06,266.25,264.1,-0.81
SKFB,2026-07-03,267.79999,265.8,-0.75
SKFB,2026-07-01,246.35001,248.8,0.99
SKFB,2026-06-15,248.39999,245.5,-1.17
SKFB,2026-06-09,243.0,240.7,-0.95
SKFB,2026-05-29,245.55,242.9,-1.08
SKFB,2026-05-26,245.45,244.0,-0.59
SKFB,2026-05-13,231.85001,234.2,1.01
SKFB,2026-04-29,230.5,228.2,-1.0
SKFB,2026-04-13,236.60001,237.9,0.55
SKFB,2026-04-02,228.8,223.6,-2.27
SKFB,2026-03-23,217.0,215.2,-0.83
SKFB,2026-03-20,212.050003,210.8,-0.59
SKFB,2026-03-12,228.64999,229.9,0.55
SKFB,2026-03-06,233.7,236.1,1.03
SKFB,2026-03-05,240.2,238.4,-0.75
SKFB,2026-03-04,245.39999,242.6,-1.14
KNEBV,2026-07-09,49.575,49.23,-0.7
KNEBV,2026-07-08,50.24,49.97,-0.54
KNEBV,2026-06-26,49.68,49.96,0.56
KNEBV,2026-06-18,49.21,48.9,-0.63
KNEBV,2026-06-11,47.95,48.19,0.5
KNEBV,2026-06-10,49.415,49.7,0.58
KNEBV,2026-06-05,50.565,50.28,-0.56
KNEBV,2026-05-26,50.655,50.4,-0.5
KNEBV,2026-05-07,52.98,52.18,-1.51
KNEBV,2026-05-04,52.32,52.0,-0.61
KNEBV,2026-04-14,58.28,57.9,-0.65
KNEBV,2026-04-09,56.67,57.26,1.04
KNEBV,2026-04-02,54.64,55.0,0.66
KNEBV,2026-03-13,56.16,55.82,-0.61
KNEBV,2026-03-10,57.4,56.8,-1.05
KNEBV,2026-03-09,56.86,56.5,-0.63
KNEBV,2026-03-03,61.39,60.76,-1.03
ASSAB,2026-07-07,341.89999,340.0,-0.56
ASSAB,2026-07-06,343.10001,340.8,-0.67
ASSAB,2026-07-01,339.70001,343.8,1.21
ASSAB,2026-06-26,338.85001,340.9,0.6
ASSAB,2026-06-10,331.25,328.3,-0.89
ASSAB,2026-06-08,322.45001,325.0,0.79
ASSAB,2026-05-28,333.14999,329.9,-0.98
ASSAB,2026-05-20,339.60001,337.2,-0.71
ASSAB,2026-05-04,355.46887,350.2,-1.48
ASSAB,2026-04-21,375.85001,372.4,-0.92
ASSAB,2026-04-15,367.5,364.6,-0.79
ASSAB,2026-04-13,361.0,363.1,0.58
ASSAB,2026-03-23,332.85001,328.5,-1.31
ASSAB,2026-03-10,356.29999,354.2,-0.59
ASSAB,2026-03-04,376.29999,374.2,-0.56
ASSAB,2026-03-03,375.39999,377.7,0.61
ASSAB,2026-03-02,380.29999,382.4,0.55
ASSAB,2026-02-27,382.10001,385.6,0.92
EPIA,2026-07-03,263.74283,267.2,1.31
EPIA,2026-07-02,257.90201,260.5,1.01
